Seed,DesiredNegatives,LegendaryNegatives,SkipTagOne,SkipTagTwo,RandomNegatives
2VB1P4C,1,0,0,0,2
1XJ4E9Z,1,0,0,1,0
1SLDCX1,1,0,2,1,1
1UTFYRP,1,0,0,2,1
1YF8THH,1,0,0,0,1
2SHTEDF,1,0,0,0,0
1YMSLWD,1,0,0,0,0
2MBRNFG,1,0,1,0,4
1VYZR5T,1,0,1,0,3
2V4FMLN,1,0,1,1,3
1SSEZDY,1,0,0,0,2
1UUGYJR,1,0,2,1,0
2UG8E6O,1,0,1,0,2
1U4JR4J,1,0,1,0,1
1VX6HXO,1,0,0,1,0
1WG79D1,1,0,1,1,0
21S86ZQ,1,0,1,0,2
1RNMH2P,1,0,1,1,1
1ZW1VJD,1,0,0,1,1
2Y5KT2M,1,0,1,1,1
1TB5R6W,1,0,1,0,2
29SZG84,1,0,0,1,2
21PRCTE,1,0,0,1,1
1UZJCYO,1,0,0,0,1
21OKH51,1,0,1,0,0
1VUKDM5,1,0,0,0,0
RR4DDH,1,0,0,0,4
1VMHELV,1,0,0,0,2
1UXO5E4,1,0,1,0,2
2WLECAF,1,0,0,1,1
1U9Z6KJ,1,0,0,2,0
32F2FWP,1,0,0,0,0
21F7MWD,1,0,0,1,2
1UV69O1,1,0,0,1,2
1ZJTCS8,1,0,0,0,0
2WHX97G,1,0,0,0,1
1XUT3LK,1,0,0,0,0
1ZDKGFV,1,0,0,0,2
1W4RPGS,1,0,0,0,1
23Q7RVL,1,0,1,1,1
239XWJC,1,0,0,1,0
2VT6CHU,1,0,0,1,0
379SBFO,1,0,0,1,1
1PHLWZZ,1,0,0,1,1
214UNUE,1,0,1,1,2
218UF6M,1,0,2,1,0
21GMKFP,1,0,0,1,0
21GW736,1,0,0,0,0
1ZX1E9C,1,0,0,0,0
22ZXENI,1,0,0,0,0
1XDQN1B,1,0,1,0,0
25N4P4Q,1,0,0,1,0
22A66TY,1,0,2,1,0
39H5NAD,1,0,2,1,0
24BROPM,1,0,0,1,0
24MQGIT,1,0,1,2,1
1QLJFT1,1,0,1,3,0
1UF71Y2,1,0,0,0,1
39AMOBB,1,0,1,0,1
38PBON9,1,0,0,0,1
23C4GEH,1,0,0,0,3
1ZF4511,1,1,0,1,0
1YRA9IC,1,0,1,0,0
1VUQ66D,1,0,0,0,1
23DBS6C,1,0,2,0,1
322OJ3Y,1,0,0,0,0
1VMADDI,1,0,1,1,4
1Y7L62Y,1,0,0,0,0
27O11D2,1,0,1,0,1
22ZKTO6,1,0,0,0,1
23NRQO5,1,0,0,1,1
22RE791,1,0,0,0,2
34AG9PS,1,0,0,1,0
238GUEV,1,0,0,0,0
38Y9GKD,1,0,0,1,1
38DFZ9K,1,0,0,1,0
1ZI1L4D,1,0,0,0,1
1ZX2RZI,1,0,1,0,0
1YYSZJE,1,0,0,0,1
1ZXVNZY,1,0,1,0,0
23WL6XM,1,0,1,0,1
245XXVB,1,0,0,0,2
283S927,1,0,1,0,0
27YAOHU,1,0,0,0,1
1XR3QHD,1,0,1,1,0
BVHAIW,1,0,1,0,1
25ED1XW,1,0,0,0,0
241ACQC,1,0,0,0,0
2423DJM,1,0,1,0,1
22X6GJ9,1,0,0,1,1
216G18F,1,0,0,0,2
6SH9VM,1,0,0,1,1
251VJP3,1,0,2,0,3
26YHN89,1,0,0,0,1
283X8NZ,1,0,0,0,0
3BR7BM2,1,0,0,0,0
1XGIPRT,1,0,0,1,0
1RJXRHY,1,0,1,1,0
2E7AI62,1,0,1,0,1
