Seed,Score,Perkeo,Canio,Triboulet,Yorick,Chicot,Blueprint,Brainstorm,NegSkipTags
BQMU8ZBI,3,1,1,0,0,0,1,0,4
BQRVTG2J,3,1,0,0,0,0,1,1,5
BRAZHL7U,3,1,0,0,0,0,1,1,4
BS4O7WFX,3,1,0,0,0,0,1,1,4
BRBTWL8R,3,1,1,0,0,0,0,1,4
BR6T34UB,3,1,0,0,0,1,1,0,4
BOBXOBDT,3,1,0,0,0,0,1,1,4
BQ2ZZB5F,3,1,0,1,0,0,1,0,4
BQRAJ3K5,3,1,0,1,0,0,0,1,4
BQ33R7F6,3,1,0,0,0,0,1,1,4
BQ8HETXO,3,1,0,0,0,0,1,1,4
BR9YZY16,3,1,0,0,0,0,1,1,4
BQRIQ9NL,3,1,1,0,0,0,0,1,4
BRAIRFYL,3,1,0,0,1,0,1,0,4
BOS3NLVR,3,1,0,0,0,0,1,1,4
BQNTRKZQ,3,2,0,0,0,0,3,1,4
BQ9EDCP6,3,1,1,0,0,0,0,1,4
BR994HI1,3,1,0,0,0,0,1,1,4
BRCFDREL,3,1,0,0,0,0,1,1,4
BQV149P4,3,1,0,0,0,0,1,1,5
BQT3KHYL,4,1,0,0,0,1,1,1,4
BQMF66QZ,3,1,0,1,0,0,0,1,4
BR2C5UJ5,3,1,0,0,0,0,1,1,4
BQPJGY52,3,1,0,0,0,0,1,1,4
BQADU7YP,3,2,0,0,0,0,1,1,4
BQMIT8DO,3,1,0,0,0,0,1,1,4
BPZ4FWYI,3,1,1,0,0,0,0,1,4
BQPJ8U1Q,3,1,0,0,0,0,1,1,4
BQS8P7YI,3,1,0,0,0,0,1,1,4
BRL2UGB9,3,1,0,0,1,0,1,0,4
BRFT3M4M,3,1,0,0,0,0,1,1,4
BQ9FUR4S,3,1,0,1,0,1,0,0,4
BQUX6GDT,3,1,0,0,0,1,1,0,5
BQAZMODH,3,1,0,0,0,0,1,1,4
BPARJ7VT,3,1,0,0,0,0,1,1,4
BRNJUUWU,3,1,0,0,0,0,1,1,4
BQPMZRDG,3,1,0,0,0,0,1,1,4
BSP75WU8,3,1,0,0,0,0,1,1,5
BQYAEP8R,3,1,0,0,1,0,0,1,4
BRGP79VY,3,2,0,1,0,0,1,0,4
BSMBZFMD,3,1,0,0,0,0,1,1,4
BQYYTJED,3,1,0,0,0,0,1,1,4
BR3NCDOH,3,1,0,0,0,0,1,1,4
BON1ZXO1,3,1,0,0,0,0,2,1,4
BQMM16WX,3,1,1,0,0,0,2,0,4
BR4ORVXV,3,1,0,0,0,0,1,1,4
BQNUPY6H,3,1,0,0,0,1,1,0,4
BR2C412X,3,1,0,0,0,1,1,0,4
BRNL2XCG,3,1,0,0,0,0,1,1,4
BROHADQA,3,1,1,0,0,0,1,0,4
BOZW9VOO,3,1,0,0,0,0,1,1,4
BSSWJXQK,3,1,1,0,0,0,1,0,4
BR5BBWGE,3,1,0,0,0,0,1,1,4
BOUJDMYE,3,1,0,1,0,0,1,0,5
BR5ZG5IH,3,1,0,0,0,0,1,1,4
BRFOFZRL,3,1,0,0,1,0,1,0,4
BOPOENOP,3,1,0,0,1,0,0,1,4
BR35G9OJ,3,1,0,0,0,0,1,1,4
BRA5AIFX,3,1,0,0,0,1,0,1,4
BPAD36EV,3,1,0,0,0,0,1,1,4
BR7HEMBP,3,2,1,0,0,0,0,1,4
BRSFFM3V,3,1,1,0,0,0,0,1,4
BR53ZAZA,3,1,0,0,0,0,1,1,4
BRSX4ZIE,3,1,0,0,0,0,1,1,4
BQN493K6,3,1,0,0,0,0,1,1,4
BREE9OTC,3,1,0,0,1,0,1,0,4
BR92JTYP,3,1,1,0,0,0,1,0,4
BQP2LT8G,3,1,0,0,0,1,1,0,5
BQA4K4HP,3,1,0,1,0,0,1,0,4
BQPB27UO,3,1,0,0,0,0,1,1,4
BT6KOPKC,3,1,0,0,0,1,0,1,4
BPIKOMP2,3,1,0,0,0,0,1,1,4
BQSFB4FF,3,1,0,0,0,0,1,1,4
BRDRJ18L,3,1,0,0,1,0,0,1,4
BQU5619D,3,1,0,0,0,0,1,1,4
BQR8TBA5,3,1,0,0,1,0,1,0,4
BT4NT9XI,3,1,0,1,0,0,0,1,4
BQTTP39N,3,1,0,0,0,0,1,1,4
BR5RUCWK,3,1,0,0,0,0,1,1,4
BP58DIOS,3,1,0,0,0,0,1,1,5
BRDY12TJ,3,1,0,1,0,0,1,0,5
BP5G3HWW,3,1,0,0,0,0,1,1,4
BRLGIPNE,3,1,0,1,0,1,0,0,4
BRPB27KQ,3,1,0,0,0,0,1,1,4
BRCBF8XD,3,1,0,0,0,0,1,1,4
BT6IITHN,3,1,0,0,0,0,1,1,4
BRHLLT64,3,1,0,0,1,0,0,1,4
BS9F2QVH,3,1,0,0,0,0,1,1,4
BREGXIOK,3,1,0,0,0,0,1,1,5
BTG8DD3O,3,1,0,0,0,0,1,1,4
BPJIBG77,3,1,0,1,0,0,0,1,4
BTDD79UQ,3,1,0,0,1,0,0,1,4
BRGXBKVQ,3,1,1,0,0,0,1,0,4
BTI21E9H,3,1,1,0,0,0,0,1,4
BRCAT7S2,3,1,0,0,0,0,1,1,4
BS8BQ76R,3,1,0,0,0,1,1,0,4
BS815YO5,3,1,0,0,0,0,1,1,6
BPPYZELB,3,1,0,0,0,0,1,1,4
BR1YO663,3,1,1,1,0,0,0,0,4
BSGVYE1U,3,1,0,0,0,0,1,1,4
BS7NSNKZ,3,1,0,0,0,0,1,1,4
BR84RAVL,3,1,0,0,0,0,1,1,4
BTISSE8K,3,1,1,0,0,0,0,1,4
BP6NGKMM,3,1,0,0,0,0,1,1,4
BRQ2MGMR,3,1,0,0,0,1,1,0,4
BSA76RN2,3,1,1,0,0,0,1,0,4
BP4R8ZY9,3,1,0,0,0,0,1,1,4
BRQ56PF2,3,1,0,0,1,0,0,1,4
BP3O6W9I,3,1,0,1,0,0,0,1,4
BPRNACHD,3,1,0,0,1,0,1,0,4
BTP6JL5R,3,1,0,1,0,0,1,0,4
BP49CEXH,3,1,0,1,0,0,0,1,4
BQYO9BXL,3,2,0,1,0,0,0,1,4
BSD5TSUT,3,1,0,0,0,0,1,1,4
BQQ29IOR,3,1,0,0,0,0,1,1,4
BR5YZ8EW,3,1,1,0,0,0,0,1,4
BRPCW5BG,4,1,1,0,0,0,1,1,4
BR4E76B8,3,2,0,1,0,0,0,1,5
BTL42PQ9,3,1,0,0,0,0,1,1,4
BSEK661Y,3,1,0,0,0,0,1,1,4
BSLFHQG9,3,1,0,0,0,0,1,1,5
